PolicyholderNumber,FirstPartyVehicleNumber,PolicyholderOccupation,FirstPolicySubscriptionDate,FirstPartyVehicleType,PolicyholderPostCode,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,PolicyHolderAge,FirstPartyLiability,ReferenceId,ThirdPartyVehicleNumber,InsurerNotes,LossDate,ClaimCause,ClaimInvolvedCovers,DamageImportance,ConnectionBetweenParties,LossPostCode,EasinessToStage,ClaimWithoutIdentifiedThirdParty,ClaimAmount,LossHour,NumberOfBodilyInjuries,Fraud
PH002521,V21725,Other,2016-03-02,Van,82672,0,1,91,69,0.13661510290979725,REF002521,V66769,Theft reported,2019-02-16,Vandalism,Comprehensive,6,No,83130,0.08742897128515859,0,9089.74024477351,8,0,0.0
PH005644,V98345,Teacher,2013-12-22,SUV,89918,1,3,180,27,0.7919129534048363,REF005644,V98247,Partial damage,2020-01-05,Fire,Medical,9,No,20260,0.42834850221649223,0,7979.869154276855,21,0,0.0
PH002480,V72793,Lawyer,2011-02-17,Motorcycle,80031,1,3,226,64,0.3284210992384529,REF002480,V91871,Theft reported,2020-07-30,Theft,Medical,7,No,97535,0.8967137763288904,1,47542.47804358311,8,1,0.0
PH003080,V23538,Engineer,2011-06-30,Truck,71505,0,4,4,22,0.24173519555083597,REF003080,V26039,Total loss,2019-09-25,Fire,Collision,3,No,52211,0.7377635895366159,0,49699.230839331845,13,0,0.0
PH006987,V14085,Business,2015-02-15,Truck,23008,1,1,15,20,0.545342815700092,REF006987,V74916,Minor damage,2020-01-12,Accident,Collision,5,No,76046,0.9580060092211575,0,15050.786420685616,15,0,0.0
PH004678,V44471,Teacher,2016-09-23,Van,17241,0,3,144,24,0.7885216914130118,REF004678,V48564,Theft reported,2019-12-25,Accident,Collision,3,No,35176,0.6095483150975782,1,11225.274956029669,4,1,0.0
PH008076,V44079,Engineer,2017-12-29,Van,12278,0,1,200,27,0.3726893894029012,REF008076,V47554,Minor damage,2019-02-03,Fire,Liability,1,No,57348,0.796785417535815,0,43325.89236302077,21,0,0.0
PH000525,V52753,Doctor,2010-04-04,Truck,52281,1,2,38,76,0.43076332604623035,REF000525,V69183,Theft reported,2020-09-21,Fire,Medical,6,No,18686,0.6979072478650438,0,28183.159545659906,3,0,0.0
PH005588,V96413,Teacher,2013-08-17,Van,33452,0,1,222,29,0.6631277689877362,REF005588,V77051,Total loss,2020-09-08,Vandalism,Medical,5,No,51736,0.007121213832152917,0,41158.61566730636,13,2,0.0
PH002454,V49008,Doctor,2010-11-29,Truck,99362,0,1,66,21,0.2187157787898916,REF002454,V57622,Total loss,2019-02-23,Fire,Liability,9,No,81762,0.6930311484730651,0,1098.1669771547363,8,0,0.0
PH009388,V65312,Teacher,2014-07-07,SUV,62137,0,1,183,19,0.7532313660594062,REF009388,V53068,Theft reported,2020-08-11,Natural Disaster,Collision,4,No,79693,0.47503773057747856,0,33818.77516248508,15,0,0.0
PH002441,V56437,Other,2017-12-27,SUV,89135,1,1,10,56,0.3097453523116811,REF002441,V50572,Total loss,2020-01-31,Fire,Medical,3,No,80108,0.3714041221030058,0,4910.03189678426,6,0,0.0
PH004086,V90134,Engineer,2010-07-19,Car,40239,0,2,180,19,0.4285610864851601,REF004086,V94133,Theft reported,2020-01-20,Natural Disaster,Comprehensive,2,No,68925,0.8666002982274015,0,15534.794159789877,6,0,0.0
PH009453,V98726,Engineer,2016-07-08,Car,14650,0,1,72,47,0.3058376225671947,REF009453,V12389,Minor damage,2019-07-07,Accident,Liability,7,No,95607,0.5617614458384272,0,9771.805614205923,13,2,0.0
PH000837,V58368,Engineer,2016-07-21,Van,91814,1,1,230,73,0.737455914594623,REF000837,V46454,Minor damage,2019-04-09,Vandalism,Medical,6,No,94227,0.4730693391897488,1,27156.877225150685,17,0,0.0
PH005906,V19351,Engineer,2010-10-07,Truck,93775,1,1,199,51,0.6392510549622649,REF005906,V83396,Minor damage,2019-09-03,Theft,Liability,7,No,14274,0.4501355595950587,0,7952.565246835443,3,3,0.0
PH007184,V66511,Teacher,2019-08-01,Motorcycle,77294,0,1,96,68,0.7793459145823033,REF007184,V30072,Theft reported,2020-04-30,Accident,Liability,5,No,50983,0.5016429023126918,0,36726.02261218577,23,0,0.0
PH005996,V50352,Business,2019-06-07,Truck,16603,0,1,117,56,0.5019505679422955,REF005996,V12123,Partial damage,2020-10-05,Natural Disaster,Collision,4,No,53984,0.9777070714877821,0,36884.53823814921,13,0,0.0
PH003136,V53874,Other,2019-10-20,Truck,95838,1,1,113,24,0.36408441896052546,REF003136,V34635,Partial damage,2020-05-03,Vandalism,Collision,8,No,19797,0.0030299180650269486,0,9002.337871894477,0,0,0.0
PH000739,V50768,Lawyer,2011-10-26,Motorcycle,66936,1,1,197,20,0.6565217725931239,REF000739,V77174,Minor damage,2020-07-13,Fire,Liability,4,No,34849,0.1366056358904041,1,43757.88920534606,21,3,0.0
PH004295,V23845,Lawyer,2011-01-08,Truck,52476,0,1,79,60,0.7741685315562749,REF004295,V73784,Total loss,2020-06-04,Vandalism,Collision,5,No,81889,0.7536946225540546,1,23467.37877601802,21,0,0.0
PH006809,V75358,Teacher,2012-11-07,Car,83130,0,1,77,31,0.49946530268467837,REF006809,V44144,Total loss,2019-03-26,Accident,Liability,5,No,47952,0.7708716031488808,0,15657.86908154375,21,0,0.0
PH004046,V24538,Business,2015-10-09,Motorcycle,75708,0,1,82,45,0.7231255119678783,REF004046,V16498,Theft reported,2020-12-25,Fire,Comprehensive,4,No,86673,0.04593181338307606,1,6598.5387775897525,9,4,0.0
PH002855,V77215,Lawyer,2013-06-22,Van,57213,0,2,144,26,0.5359255226138476,REF002855,V10657,Total loss,2019-10-16,Vandalism,Liability,4,Yes,83697,0.30717641763386283,0,19289.049836858823,8,0,0.0
PH005707,V43792,Business,2018-03-13,Van,33398,1,2,175,37,0.6503360718490121,REF005707,V78697,Total loss,2020-10-07,Accident,Liability,7,No,23752,0.20537614543826133,0,8261.409912388037,21,0,0.0
PH002445,V44650,Teacher,2014-04-06,Car,96224,1,2,101,20,0.3065794255121669,REF002445,V22335,Theft reported,2020-01-16,Fire,Liability,9,No,72324,0.017600843252578713,0,26453.201460143904,8,0,0.0
PH002126,V69250,Business,2011-08-25,Car,91937,0,3,211,49,0.3453368431122792,REF002126,V28590,Minor damage,2020-12-21,Natural Disaster,Comprehensive,9,No,52326,0.8358513188464415,0,30590.020228506215,17,0,0.0
PH008535,V75291,Business,2019-06-05,Truck,53736,1,1,107,74,0.39751095886054577,REF008535,V90354,Theft reported,2019-04-22,Fire,Comprehensive,2,No,21358,0.9577705734921026,0,31054.16252090431,6,2,0.0
PH004318,V15083,Doctor,2018-07-01,SUV,20260,1,1,21,70,0.6176489614951286,REF004318,V10873,Theft reported,2019-05-21,Natural Disaster,Collision,2,No,39534,0.30123429875538466,0,43699.04580014124,22,0,0.0
PH004846,V93563,Doctor,2010-10-27,Truck,52722,0,1,200,40,0.7841468378702142,REF004846,V35544,Minor damage,2019-10-21,Accident,Comprehensive,2,No,85310,0.6543235599539279,0,4322.6345166817955,0,0,0.0
PH001866,V79135,Engineer,2013-06-08,SUV,85952,1,1,42,20,0.2646851026579092,REF001866,V89498,Total loss,2019-04-09,Fire,Medical,2,No,16940,0.6397657254804098,0,13542.810418593395,5,0,0.0
PH005988,V79964,Engineer,2020-04-05,Van,13006,1,1,138,51,0.48330637950156985,REF005988,V66011,Theft reported,2019-07-16,Vandalism,Comprehensive,2,No,65379,0.7427843485313693,0,45952.50569500545,6,2,0.0
PH004215,V44510,Lawyer,2019-09-10,Truck,45193,1,1,153,50,0.6766004617244533,REF004215,V77488,Total loss,2020-03-25,Vandalism,Medical,1,No,98238,0.7801244472006885,1,41329.368372890116,15,1,0.0
PH008243,V39428,Teacher,2016-03-11,Van,60003,0,1,84,64,0.7514251800622079,REF008243,V21380,Total loss,2020-02-14,Theft,Liability,2,No,91271,0.5109601651795186,0,5867.814709406404,5,0,0.0
PH005754,V98580,Teacher,2018-12-25,Truck,46549,0,3,37,55,0.40309801239696286,REF005754,V72558,Theft reported,2019-02-03,Accident,Collision,1,Yes,34119,0.9037519058950977,1,49038.14224001986,1,0,0.0
PH009853,V59219,Engineer,2020-03-03,Car,30840,0,2,141,77,0.6349256321348898,REF009853,V39829,Minor damage,2019-07-02,Fire,Medical,7,No,73230,0.9421536981776055,0,7928.892930783641,22,0,0.0
PH005233,V34116,Teacher,2018-02-16,Motorcycle,50909,0,1,233,56,0.560923437056484,REF005233,V58866,Partial damage,2020-03-24,Natural Disaster,Comprehensive,3,No,92961,0.9877210728505343,0,24671.826818898917,1,2,0.0
PH004527,V86062,Engineer,2019-10-21,Car,17387,1,1,70,55,0.34572692659976517,REF004527,V47105,Theft reported,2020-12-02,Vandalism,Comprehensive,6,No,95014,0.8654377016539668,0,15760.113154026601,20,3,0.0
PH001017,V63523,Lawyer,2010-01-13,Truck,11177,1,1,81,40,0.15090773341130365,REF001017,V24322,Theft reported,2019-09-20,Vandalism,Medical,2,No,41991,0.8566965262340412,1,28081.63831012119,17,1,0.0
PH001550,V54541,Doctor,2016-04-07,Motorcycle,69888,0,1,155,62,0.7813253881875373,REF001550,V33033,Total loss,2020-08-18,Fire,Medical,3,No,58451,0.013582242082897933,0,24618.437681916934,20,0,0.0
PH006585,V18127,Lawyer,2020-10-28,Van,45902,0,2,204,47,0.7240114168655706,REF006585,V21648,Minor damage,2020-03-18,Vandalism,Medical,8,No,91135,0.019766343330915648,0,46562.20631129501,14,0,0.0
PH008969,V88694,Engineer,2010-11-02,Van,44031,0,3,89,50,0.6022839376223303,REF008969,V62876,Partial damage,2019-12-08,Theft,Comprehensive,1,No,54683,0.5812021149521767,0,5544.354034028023,10,1,0.0
PH004794,V96993,Doctor,2015-12-12,Car,26847,0,1,67,54,0.2196047954404568,REF004794,V52872,Total loss,2020-10-11,Vandalism,Liability,9,No,82840,0.9948533146243717,1,23418.034565222617,16,0,0.0
PH000920,V68028,Teacher,2011-03-23,Car,84901,1,1,201,51,0.1302659609896485,REF000920,V82463,Partial damage,2020-11-18,Vandalism,Collision,4,No,24270,0.5957904112945195,0,14031.466855596895,16,0,0.0
PH003832,V61688,Engineer,2014-12-23,Motorcycle,40931,0,2,158,62,0.17611755258492545,REF003832,V66324,Theft reported,2020-06-24,Natural Disaster,Comprehensive,2,No,55613,0.4055282892046572,0,30015.267831527643,14,0,0.0
PH001043,V64165,Lawyer,2019-05-14,Truck,44611,0,2,7,31,0.4354593899950179,REF001043,V35954,Theft reported,2019-08-12,Natural Disaster,Comprehensive,7,No,75498,0.09475904159671467,0,811.8695888000916,5,0,0.0
PH006778,V90225,Doctor,2017-01-26,Van,51969,0,3,35,59,0.18704493063822714,REF006778,V35509,Theft reported,2020-04-06,Theft,Collision,8,No,58683,0.3233141803440055,0,1273.6694759896545,16,0,0.0
PH005932,V42983,Doctor,2020-12-14,Car,99608,0,1,41,56,0.4315484177647252,REF005932,V17355,Total loss,2020-06-16,Accident,Medical,1,No,95487,0.4851181187797685,0,10581.33335532314,18,0,0.0
PH005057,V52287,Lawyer,2011-10-21,Truck,13111,0,1,43,61,0.2996884593942906,REF005057,V34400,Theft reported,2020-01-20,Vandalism,Comprehensive,2,No,36216,0.7354928912989298,0,38058.00165290501,16,0,0.0
PH002076,V28714,Business,2014-10-08,Truck,29504,0,1,107,65,0.30390341691056905,REF002076,V79045,Theft reported,2020-09-24,Natural Disaster,Medical,9,No,89734,0.10794262172129676,1,45810.66476916888,17,1,0.0
PH006909,V75239,Doctor,2012-04-13,Car,92055,0,1,175,41,0.3624078999219891,REF006909,V78136,Theft reported,2019-02-19,Vandalism,Liability,2,No,15430,0.844112398864665,0,36789.19855950172,0,2,0.0
PH006140,V46188,Business,2010-11-23,Motorcycle,50610,0,1,160,36,0.586954233069425,REF006140,V62469,Minor damage,2020-02-05,Accident,Comprehensive,7,No,50205,0.818378504290497,0,27738.016764662847,15,0,0.0
PH000547,V89516,Teacher,2010-04-16,Motorcycle,82578,0,3,123,35,0.44708723712802956,REF000547,V78733,Theft reported,2019-10-10,Accident,Comprehensive,1,No,22309,0.10615321831984859,1,43864.53142827179,22,0,0.0
PH007242,V66980,Engineer,2015-09-29,Motorcycle,98143,1,1,134,45,0.30993004389568857,REF007242,V61488,Partial damage,2020-05-23,Natural Disaster,Comprehensive,6,No,80672,0.7532347692232249,0,24658.778462390794,23,1,0.0
PH006756,V69098,Other,2011-04-10,Motorcycle,22097,0,3,148,74,0.6194683422064984,REF006756,V53323,Total loss,2019-09-16,Fire,Liability,3,No,37592,0.39598210775264253,0,2709.333009991673,17,0,0.0
PH005534,V43360,Teacher,2011-06-05,Motorcycle,80774,1,4,167,40,0.2805785406392903,REF005534,V41367,Partial damage,2019-01-05,Accident,Liability,2,No,81075,0.6969462867658356,0,25080.219364982644,3,1,0.0
PH004754,V87430,Other,2016-05-26,Truck,14138,0,4,41,39,0.6321641459924427,REF004754,V38369,Total loss,2019-12-08,Vandalism,Liability,8,No,52702,0.5909040618617836,0,2822.24201175594,20,0,0.0
PH004550,V20592,Engineer,2018-10-14,Motorcycle,32064,0,1,91,79,0.4083495788767919,REF004550,V29902,Theft reported,2019-07-29,Theft,Comprehensive,1,No,56399,0.38380213253250295,1,45529.49549042662,6,0,0.0
PH006321,V88632,Teacher,2019-11-30,Car,80245,1,1,183,37,0.7000561823544507,REF006321,V73878,Total loss,2019-03-22,Natural Disaster,Collision,3,No,93207,0.6424131140684334,0,19850.798729511345,23,0,0.0
PH002375,V76494,Engineer,2017-07-07,SUV,62854,0,1,234,54,0.29797665335456547,REF002375,V11111,Total loss,2020-06-29,Accident,Collision,9,Yes,49544,0.30933943975449885,0,25572.002137262545,12,0,0.0
PH008890,V14440,Engineer,2013-12-09,SUV,19029,1,2,163,47,0.7734891044489512,REF008890,V89219,Theft reported,2019-01-03,Accident,Liability,5,No,17346,0.6800954658688683,0,35384.72176690428,3,0,0.0
PH009716,V49967,Lawyer,2018-03-16,Motorcycle,14808,0,3,108,58,0.38070970953684824,REF009716,V46053,Partial damage,2020-01-11,Natural Disaster,Comprehensive,7,No,39386,0.3417083215941227,0,7210.252404941641,15,0,0.0
PH003279,V63090,Teacher,2018-02-28,Car,37044,1,1,100,63,0.25399366802910917,REF003279,V49924,Total loss,2020-02-20,Accident,Medical,2,No,69591,0.07004834563793927,0,12765.71726759129,10,0,0.0
PH000665,V89069,Lawyer,2017-07-15,Motorcycle,94698,0,1,204,58,0.6014133223423597,REF000665,V73538,Partial damage,2020-05-28,Theft,Comprehensive,7,No,17174,0.02999731019504881,0,41366.72932376365,2,0,0.0
PH009275,V96714,Lawyer,2019-03-11,Truck,58637,0,3,171,66,0.5371445825529144,REF009275,V42846,Minor damage,2019-01-25,Fire,Liability,2,Yes,59345,0.9087612455785564,0,17367.888722931453,18,2,0.0
PH002633,V57419,Lawyer,2020-12-22,Truck,57650,0,1,214,42,0.42601066838686275,REF002633,V37494,Minor damage,2020-06-03,Accident,Collision,7,Yes,94500,0.6430638537790563,0,41449.13792890892,7,0,0.0
PH000468,V39219,Other,2011-03-26,Van,88731,0,1,227,19,0.4606090984753074,REF000468,V86939,Minor damage,2019-06-03,Accident,Comprehensive,7,No,46352,0.5553349227489278,0,33304.27769402004,17,0,0.0
PH001875,V72991,Business,2012-01-17,SUV,45126,0,1,57,37,0.4099058075477876,REF001875,V24618,Theft reported,2020-05-13,Theft,Liability,7,No,43532,0.45229526808844633,1,20138.54609354131,8,0,0.0
PH005055,V15235,Business,2020-04-23,Car,27447,0,1,70,38,0.41778018138904915,REF005055,V71189,Minor damage,2020-03-04,Accident,Comprehensive,2,No,48162,0.08196143968353187,1,48909.70506186647,0,0,0.0
PH004709,V48800,Other,2015-03-01,Car,68327,0,1,146,61,0.558346941918091,REF004709,V33491,Total loss,2020-08-20,Fire,Medical,1,No,35570,0.23785083556939102,0,8794.512463752435,22,2,0.0
PH000257,V95649,Lawyer,2010-10-04,Motorcycle,77475,1,2,136,57,0.32194514430017873,REF000257,V53452,Theft reported,2020-09-02,Accident,Comprehensive,5,No,79870,0.9356994281428882,0,8368.358197417228,5,0,0.0
PH002256,V54589,Engineer,2017-08-25,Motorcycle,80635,0,1,78,43,0.1554453172630547,REF002256,V65667,Minor damage,2019-12-06,Accident,Collision,2,No,56517,0.7947072081714769,0,18001.733754613208,16,0,0.0
PH002199,V42847,Engineer,2011-07-14,SUV,56312,0,3,51,48,0.7988688485565925,REF002199,V51853,Theft reported,2019-08-31,Fire,Liability,3,No,30839,0.20850773397013478,0,4738.469033288227,17,0,0.0
PH002350,V88966,Other,2010-08-21,Motorcycle,38280,0,2,83,41,0.7655551916733759,REF002350,V80984,Theft reported,2019-06-06,Theft,Liability,6,No,19944,0.48852640066743624,0,2176.297248328401,18,0,0.0
PH007767,V21537,Business,2015-04-02,Car,59266,1,1,202,34,0.6471010900135539,REF007767,V95411,Minor damage,2020-02-17,Fire,Medical,4,No,88868,0.9518647809791758,0,35253.32314757419,10,0,0.0
PH001039,V10150,Lawyer,2018-07-13,Car,90662,0,1,81,75,0.27837396522669333,REF001039,V33121,Theft reported,2020-05-12,Fire,Medical,9,No,43169,0.49503387386207875,0,31625.699500895764,20,0,0.0
PH006282,V19225,Engineer,2014-07-22,SUV,38233,0,1,174,63,0.2122470714600554,REF006282,V14485,Theft reported,2020-06-10,Accident,Medical,1,No,76090,0.357530384314907,0,9755.324097155479,4,0,0.0
PH003626,V41599,Business,2019-03-03,SUV,11755,0,1,83,19,0.6627916526849918,REF003626,V94559,Minor damage,2019-06-22,Theft,Comprehensive,2,No,43167,0.7686559883876812,0,27949.113539280428,20,1,0.0
PH004683,V48712,Doctor,2014-04-05,Car,59700,1,1,202,71,0.6465176762443724,REF004683,V90622,Theft reported,2020-10-12,Natural Disaster,Medical,4,No,85977,0.01745145572378537,0,35077.57604827703,6,0,0.0
PH000215,V18392,Teacher,2010-08-13,Car,50916,0,1,166,54,0.7148601832629481,REF000215,V28953,Minor damage,2019-05-13,Fire,Medical,3,No,31570,0.7228884056677259,0,12500.608401068073,21,1,0.0
PH008027,V20085,Teacher,2015-05-25,Van,61347,0,3,65,36,0.38293109838944983,REF008027,V21284,Total loss,2019-06-11,Natural Disaster,Medical,2,No,53295,0.4335744970698635,0,44757.88787467855,15,0,0.0
PH009893,V93335,Other,2013-12-04,Motorcycle,36007,1,1,64,50,0.8287155875744582,REF009893,V90186,Total loss,2020-03-10,Theft,Comprehensive,8,No,23531,0.5350892164980409,0,5021.630690115714,14,0,0.0
PH001290,V54396,Engineer,2019-12-13,Van,84581,0,1,100,36,0.6137978419980811,REF001290,V49203,Theft reported,2020-09-24,Fire,Collision,9,No,18848,0.5311218742742404,0,38178.525729851426,1,1,0.0
PH000554,V38010,Doctor,2014-10-13,Van,96798,0,2,233,61,0.35772614657607216,REF000554,V32521,Theft reported,2020-01-04,Fire,Medical,2,No,94484,0.7402667872988469,0,37612.30658998885,21,0,0.0
PH006019,V10946,Business,2011-10-02,Car,88796,1,2,236,61,0.6546275981140182,REF006019,V71400,Total loss,2020-07-15,Theft,Medical,5,No,15293,0.11722945059103484,0,6981.050740704941,1,0,0.0
PH003614,V77862,Lawyer,2018-05-06,Motorcycle,33359,1,1,224,32,0.6391617448292477,REF003614,V29844,Partial damage,2020-01-28,Fire,Collision,6,Yes,28682,0.16516468295025022,0,21766.027720611302,4,0,0.0
PH001268,V50492,Doctor,2015-09-28,Motorcycle,55052,1,4,231,73,0.803468487299316,REF001268,V88496,Minor damage,2020-10-26,Accident,Collision,5,No,45275,0.9884452485859186,0,38702.991661902364,13,0,0.0
PH009994,V11227,Engineer,2020-12-08,Motorcycle,78893,1,1,55,27,0.5705944248544752,REF009994,V96575,Minor damage,2020-01-07,Fire,Medical,5,No,69841,0.7505218799007941,0,32560.979135659956,3,0,0.0
PH005977,V33204,Teacher,2013-05-03,Truck,26312,0,2,232,35,0.8702807145394234,REF005977,V53648,Partial damage,2019-05-01,Fire,Collision,5,No,65381,0.07557820785105474,0,26533.350756582975,9,0,0.0
PH006204,V48754,Engineer,2017-05-18,SUV,68820,0,1,30,28,0.16627766717130676,REF006204,V71669,Theft reported,2020-07-07,Theft,Collision,1,No,99392,0.21010777701576566,0,8722.190084625385,7,0,0.0
PH000249,V96374,Lawyer,2017-05-10,Van,16531,0,2,123,39,0.18761219787171105,REF000249,V93724,Partial damage,2019-11-27,Fire,Medical,9,Yes,16221,0.9659828694393638,1,38313.51802988014,1,0,0.0
PH007378,V92483,Doctor,2015-09-02,Van,96987,0,1,129,59,0.4794352926064628,REF007378,V89011,Partial damage,2020-03-29,Vandalism,Collision,5,No,60924,0.19664305389812264,0,23940.962797103937,21,1,0.0
PH000982,V80776,Engineer,2012-01-05,Car,57754,0,1,185,33,0.8409049372148452,REF000982,V29383,Theft reported,2019-03-23,Fire,Liability,1,No,44619,0.5875408005128131,0,29023.942062215803,22,0,0.0
PH003954,V82179,Lawyer,2015-06-21,Motorcycle,33442,0,2,10,18,0.26843573132563747,REF003954,V55587,Partial damage,2019-10-06,Natural Disaster,Collision,8,No,96670,0.4589724304455127,0,25792.979944555005,5,0,0.0
PH006053,V93478,Lawyer,2014-12-09,Car,71379,0,1,180,79,0.11162850352120213,REF006053,V43928,Partial damage,2020-07-09,Vandalism,Comprehensive,2,No,29483,0.21980262851437793,0,14678.997378875833,22,1,0.0
PH006838,V55746,Doctor,2015-06-07,SUV,22220,0,1,21,35,0.565797119558298,REF006838,V13624,Minor damage,2020-11-04,Natural Disaster,Liability,6,No,10766,0.2971445570271476,0,20088.639729798797,13,0,0.0
PH005217,V10659,Lawyer,2010-04-06,Car,29295,0,1,15,75,0.3861518870109356,REF005217,V69597,Total loss,2019-12-05,Natural Disaster,Medical,9,No,11102,0.9117172148375886,0,34974.40638594098,11,1,0.0
PH005623,V78289,Lawyer,2014-12-28,Motorcycle,38130,1,1,54,37,0.39225379982722275,REF005623,V84479,Minor damage,2019-06-06,Accident,Liability,2,Yes,23971,0.11351082406234647,1,5064.661736494928,5,0,0.0
PH003465,V45221,Business,2018-06-07,Motorcycle,67970,0,1,101,20,0.4097588589586808,REF003465,V41804,Theft reported,2020-08-20,Accident,Liability,2,No,68417,0.667356671068221,0,23367.556710925874,17,0,0.0
PH000172,V80697,Other,2017-07-16,Truck,99998,0,2,199,71,0.746057252527488,REF000172,V11610,Theft reported,2019-06-24,Natural Disaster,Collision,1,No,72164,0.4369743374060667,0,20933.6687668997,19,1,0.0
PH008663,V52260,Doctor,2014-11-01,Van,52446,1,1,185,21,0.3894683886451148,REF008663,V41722,Minor damage,2020-05-15,Vandalism,Collision,1,No,51494,0.6170019447779941,0,6812.135591748599,6,0,0.0
PH006688,V39170,Business,2013-03-21,Truck,63621,1,3,184,73,0.753802452721552,REF006688,V44544,Total loss,2019-08-20,Accident,Liability,3,No,55213,0.8086257107968472,0,34267.544865059135,5,0,0.0
PH002019,V47501,Teacher,2012-11-04,SUV,38077,0,1,227,66,0.4378019391437372,REF002019,V43552,Theft reported,2020-05-25,Theft,Comprehensive,1,No,25751,0.9409917669812065,0,21769.946400835182,17,0,0.0
PH000360,V83792,Engineer,2019-04-25,Truck,22113,0,1,164,56,0.4183729421663519,REF000360,V59005,Total loss,2020-09-13,Natural Disaster,Comprehensive,8,No,66839,0.14216754807168364,0,24875.468985013486,23,0,0.0
PH008156,V52777,Lawyer,2018-04-22,Van,38788,1,1,167,54,0.6921390561507885,REF008156,V58932,Partial damage,2020-10-25,Vandalism,Comprehensive,3,No,67009,0.9520562003401117,1,25364.443842658817,18,0,0.0
PH005976,V80685,Doctor,2015-08-24,Van,36862,0,3,108,38,0.3210485573545626,REF005976,V57474,Theft reported,2020-06-15,Natural Disaster,Liability,2,No,33959,0.019045844749669083,0,18258.015775796295,6,1,0.0
PH005509,V22214,Other,2015-08-26,Car,98732,1,1,122,19,0.7945998457174743,REF005509,V20552,Theft reported,2019-02-16,Natural Disaster,Comprehensive,6,No,37175,0.3948564412064972,0,20640.35888788783,3,0,0.0
PH005873,V25890,Other,2013-12-20,Car,52311,1,1,142,40,0.7222928600871893,REF005873,V29003,Theft reported,2019-08-08,Fire,Medical,9,No,63700,0.21910924776309426,0,27547.896921293694,8,0,0.0
PH007621,V48005,Doctor,2014-10-15,Car,48022,0,1,227,20,0.6289580332562084,REF007621,V12841,Total loss,2020-04-26,Accident,Comprehensive,7,No,91875,0.8785096909920681,0,30649.4287833781,23,0,0.0
PH006345,V14543,Other,2010-07-13,Motorcycle,85253,1,2,208,20,0.3324541802002787,REF006345,V55563,Partial damage,2019-07-25,Natural Disaster,Medical,7,No,26344,0.2869143795423671,0,45276.05023800422,9,0,0.0
PH001986,V86271,Engineer,2018-12-24,SUV,99713,0,2,45,30,0.6093011273096774,REF001986,V93835,Partial damage,2020-03-08,Natural Disaster,Collision,2,No,58973,0.5065314100372728,0,46863.66372702223,3,0,0.0
PH008992,V66532,Other,2014-04-14,Van,15655,0,1,231,69,0.5464738107022508,REF008992,V30097,Theft reported,2019-03-19,Theft,Liability,9,No,67103,0.8104042864002652,1,14135.641106790643,2,0,0.0
PH001730,V87867,Other,2014-01-11,SUV,55110,0,2,62,60,0.3665229961259632,REF001730,V33878,Partial damage,2019-06-27,Accident,Liability,1,No,65879,0.535220952152091,0,26451.10728921124,3,0,0.0
PH007371,V31955,Business,2017-07-07,SUV,62807,0,3,235,41,0.7302485244529778,REF007371,V97674,Minor damage,2020-10-19,Theft,Collision,1,No,74772,0.5442877395736272,0,2516.3022008808775,16,0,0.0
PH007464,V79637,Doctor,2020-09-30,Motorcycle,32474,0,3,146,23,0.4208249614927776,REF007464,V54713,Theft reported,2019-07-11,Accident,Liability,1,No,19488,0.6296196954168792,0,17736.680983611495,14,0,0.0
PH007070,V29571,Business,2020-09-10,Van,47638,0,1,159,76,0.5173633985787588,REF007070,V77924,Theft reported,2019-05-01,Vandalism,Comprehensive,7,No,86463,0.7823991575735897,0,40472.064763256545,9,1,0.0
PH008867,V50536,Other,2014-01-26,Motorcycle,41915,0,1,102,20,0.6488122038822216,REF008867,V62939,Minor damage,2020-10-09,Theft,Liability,4,No,38680,0.8298055044651487,0,5285.404175220714,7,0,0.0
PH004530,V71894,Business,2013-04-08,SUV,40795,1,1,85,41,0.4905873009452991,REF004530,V40147,Minor damage,2020-02-07,Vandalism,Liability,1,No,57613,0.23599545155793278,0,27499.792255447206,9,0,0.0
PH002596,V40972,Teacher,2011-07-15,Truck,96429,0,2,133,30,0.5686869257400063,REF002596,V20198,Minor damage,2019-09-08,Theft,Liability,4,No,38909,0.4319981903021597,0,3822.1381222678933,8,0,0.0
PH001385,V16629,Doctor,2017-06-25,Car,79498,1,3,147,62,0.3949392581249582,REF001385,V39482,Partial damage,2020-05-06,Accident,Comprehensive,5,No,50428,0.12086170308787625,1,4580.757467215387,19,0,0.0
PH006657,V44978,Other,2020-06-17,SUV,81520,0,1,19,71,0.13873754058469132,REF006657,V74814,Partial damage,2020-06-09,Natural Disaster,Collision,5,No,92296,0.09722801546092164,0,26776.995247828032,16,2,0.0
PH004138,V23726,Business,2011-12-04,Motorcycle,27511,0,2,59,39,0.1077839790137924,REF004138,V89574,Minor damage,2020-06-29,Accident,Medical,4,No,57493,0.29414518532274103,0,16372.994069657032,3,0,0.0
PH000310,V17989,Teacher,2012-07-05,Truck,91658,0,2,72,74,0.857758162196751,REF000310,V79065,Minor damage,2020-02-02,Accident,Liability,8,Yes,84432,0.10738058522143645,0,11148.94913379863,4,0,0.0
